qrCode,location,sublocation,irrigationProvided,nitrogenTreatment,poundsOfNitrogenPerAcre,experiment,block,row,range,plotNumber,genotype,earLength,earFillLength,earWidth,shelledCobWidth,kernelsPerRow,kernelRowNumber,kernelsPerEar,hundredKernelMass,kernelMassPerEar,shelledCobMass,kernelColor,earMass,notes,year,locationYear,environment,sampleID
22-A-1584117,Ames,Ames E1,0,Low,75,LC_2233,1,7,2,1584117,29MIBZ2,NA,NA,3.935,NA,NA,12,NA,NA,NA,NA,NA,99,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584118,Ames,Ames E1,0,Low,75,LC_2233,1,14,3,1584118,F42,12.718,NA,4.077,2.717,NA,16,277,27.004,74.8,18,NA,90.3,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584118,Ames,Ames E1,0,Low,75,LC_2233,1,14,3,1584118,F42,13.828,NA,3.955,2.669,NA,16,319,25.141,80.2,23,NA,101,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584118,Ames,Ames E1,0,Low,75,LC_2233,1,14,3,1584118,F42,12.644,NA,4.213,2.729,NA,17,208,24.712,51.4,18.4,NA,69.5,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Low,NA
22-A-1584118,Ames,Ames E1,0,Low,75,LC_2233,1,14,3,1584118,F42,11.98,NA,4.297,2.851,NA,18,223,21.883,48.8,18.3,NA,66.5,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Low,NA
22-A-1584118,Ames,Ames E1,0,Low,75,LC_2233,1,14,3,1584118,F42,10.775,NA,3.912,2.703,NA,18,177,22.655,40.1,14.4,NA,53.9,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Low,NA
22-A-1584118,Ames,Ames E1,0,Low,75,LC_2233,1,14,3,1584118,F42,NA,NA,4.585,NA,NA,18,NA,NA,NA,NA,NA,111.6,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584119,Ames,Ames E1,0,Low,75,LC_2233,1,9,4,1584119,LH54,15.837,NA,3.174,2.021,NA,10,207,20.58,42.6,9.4,NA,50.9,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584119,Ames,Ames E1,0,Low,75,LC_2233,1,9,4,1584119,LH54,18.237,NA,3.413,2.02,NA,10,240,30.958,74.3,14.4,NA,88.2,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584119,Ames,Ames E1,0,Low,75,LC_2233,1,9,4,1584119,LH54,16.594,NA,3.241,1.884,NA,10,214,22.757,48.7,9.8,NA,58.2,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584119,Ames,Ames E1,0,Low,75,LC_2233,1,9,4,1584119,LH54,17.285,NA,3.244,1.912,NA,10,160,27.062,43.3,12.2,NA,55.7,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Low,NA
22-A-1584119,Ames,Ames E1,0,Low,75,LC_2233,1,9,4,1584119,LH54,20.813,NA,3.419,2.083,NA,10,146,30.89,45.1,20.5,NA,67.7,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Low,NA
22-A-1584119,Ames,Ames E1,0,Low,75,LC_2233,1,9,4,1584119,LH54,NA,NA,3.414,NA,NA,10,NA,NA,NA,NA,NA,62.9,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Low,NA
22-A-1584120,Ames,Ames E1,0,Low,75,LC_2233,1,7,3,1584120,NC230,14.035,NA,4.187,2.752,NA,14,285,24.596,70.1,18,NA,86.5,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584120,Ames,Ames E1,0,Low,75,LC_2233,1,7,3,1584120,NC230,4.825,NA,3.833,2.621,NA,14,105,22.381,23.5,3.3,NA,27,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584120,Ames,Ames E1,0,Low,75,LC_2233,1,7,3,1584120,NC230,16.677,NA,4.525,2.841,NA,12,393,26.921,105.8,26.1,NA,131.5,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584120,Ames,Ames E1,0,Low,75,LC_2233,1,7,3,1584120,NC230,13.667,NA,4.066,2.733,NA,12,304,22.237,67.6,16.6,NA,82.9,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584120,Ames,Ames E1,0,Low,75,LC_2233,1,7,3,1584120,NC230,NA,NA,4.815,NA,NA,14,NA,NA,NA,NA,NA,101.3,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584121,Ames,Ames E1,0,Low,75,LC_2233,1,3,3,1584121,A188,9.836,NA,NA,1.905,NA,11,136,22.941,31.2,5.1,NA,NA,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Low,NA
22-A-1584121,Ames,Ames E1,0,Low,75,LC_2233,1,3,3,1584121,A188,11.837,NA,NA,2.106,NA,12,278,20.072,55.8,9.7,NA,NA,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584121,Ames,Ames E1,0,Low,75,LC_2233,1,3,3,1584121,A188,11.048,NA,NA,1.64,NA,12,198,22.475,44.5,5.7,NA,NA,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584121,Ames,Ames E1,0,Low,75,LC_2233,1,3,3,1584121,A188,12.301,NA,NA,2.197,NA,12,224,30.223,67.7,10.5,NA,NA,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584121,Ames,Ames E1,0,Low,75,LC_2233,1,3,3,1584121,A188,12.325,NA,NA,2.233,NA,12,228,30.351,69.2,11,NA,NA,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584122,Ames,Ames E1,0,Low,75,LC_2233,1,15,3,1584122,CI187-2,17.952,NA,3.524,2.263,NA,14,304,23.684,72,17.3,NA,87.2,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584122,Ames,Ames E1,0,Low,75,LC_2233,1,15,3,1584122,CI187-2,14.918,NA,3.072,2.216,NA,12,113,25.133,28.4,10.4,NA,38.5,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Low,NA
22-A-1584122,Ames,Ames E1,0,Low,75,LC_2233,1,15,3,1584122,CI187-2,15.831,NA,3.193,2.435,NA,12,189,20.265,38.3,11.5,NA,50.4,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Low,NA
22-A-1584122,Ames,Ames E1,0,Low,75,LC_2233,1,15,3,1584122,CI187-2,NA,NA,3.555,NA,NA,12,NA,NA,NA,NA,NA,77.7,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584123,Ames,Ames E1,0,Low,75,LC_2233,1,13,3,1584123,NC290A,10.069,NA,4.224,2.428,NA,16,157,26.815,42.1,13.7,NA,54.6,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Low,NA
22-A-1584123,Ames,Ames E1,0,Low,75,LC_2233,1,13,3,1584123,NC290A,9.307,NA,3.537,2.303,NA,12,92,26.739,24.6,9.7,NA,33.9,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Low,NA
22-A-1584123,Ames,Ames E1,0,Low,75,LC_2233,1,13,3,1584123,NC290A,11.465,NA,4.099,2.54,NA,14,154,25.974,40,13.5,NA,53.2,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584123,Ames,Ames E1,0,Low,75,LC_2233,1,13,3,1584123,NC290A,9.12,NA,4.132,2.36,NA,15,132,24.773,32.7,10.5,NA,44.5,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Low,NA
22-A-1584123,Ames,Ames E1,0,Low,75,LC_2233,1,13,3,1584123,NC290A,9.619,NA,4.045,2.356,NA,14,141,27.66,39,11.9,NA,49.6,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584123,Ames,Ames E1,0,Low,75,LC_2233,1,13,3,1584123,NC290A,NA,NA,4.352,NA,NA,18,NA,NA,NA,NA,NA,89.3,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584124,Ames,Ames E1,0,Low,75,LC_2233,1,4,4,1584124,NC364,11.923,NA,3.687,2.408,NA,14,213,19.202,40.9,12.8,NA,52.4,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584124,Ames,Ames E1,0,Low,75,LC_2233,1,4,4,1584124,NC364,18.147,NA,4.866,2.783,NA,16,640,30.891,NA,30.8,NA,222.5,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584124,Ames,Ames E1,0,Low,75,LC_2233,1,4,4,1584124,NC364,12.3,NA,3.674,2.321,NA,12,222,18.514,41.1,11.7,NA,51.5,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584124,Ames,Ames E1,0,Low,75,LC_2233,1,4,4,1584124,NC364,13.175,NA,4.198,2.727,NA,14,351,21.595,75.8,17.9,NA,91.2,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584124,Ames,Ames E1,0,Low,75,LC_2233,1,4,4,1584124,NC364,12.287,NA,3.797,2.49,NA,14,258,17.597,45.4,11.4,NA,55.6,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584124,Ames,Ames E1,0,Low,75,LC_2233,1,4,4,1584124,NC364,NA,NA,3.979,NA,NA,18,NA,NA,NA,NA,NA,61.1,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584125,Ames,Ames E1,0,Low,75,LC_2233,1,6,4,1584125,W22,17.558,NA,4.171,2.369,NA,14,213,29.718,63.3,24.8,NA,86.5,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584125,Ames,Ames E1,0,Low,75,LC_2233,1,6,4,1584125,W22,14.196,NA,3.682,2.224,NA,14,204,27.108,55.3,16.5,NA,71.1,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584125,Ames,Ames E1,0,Low,75,LC_2233,1,6,4,1584125,W22,13.488,NA,3.933,2.431,NA,16,276,23.804,65.7,17.5,NA,81.4,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584125,Ames,Ames E1,0,Low,75,LC_2233,1,6,4,1584125,W22,NA,NA,3.958,NA,NA,16,NA,NA,NA,NA,NA,66.3,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584126,Ames,Ames E1,0,Low,75,LC_2233,1,17,2,1584126,NC262,12.228,NA,4.177,2.795,NA,16,320,22.125,70.8,12.1,NA,82,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584126,Ames,Ames E1,0,Low,75,LC_2233,1,17,2,1584126,NC262,9.713,NA,4.324,2.772,NA,17,255,24.51,62.5,10.2,NA,70.8,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584126,Ames,Ames E1,0,Low,75,LC_2233,1,17,2,1584126,NC262,11.71,NA,4.672,2.962,NA,18,352,23.011,81,15.4,NA,95.8,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584126,Ames,Ames E1,0,Low,75,LC_2233,1,17,2,1584126,NC262,9.53,NA,4.045,2.756,NA,13,112,35.089,39.3,10.5,NA,49,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Low,NA
22-A-1584126,Ames,Ames E1,0,Low,75,LC_2233,1,17,2,1584126,NC262,10.122,NA,4.042,2.545,NA,12,174,30.46,53,9.3,NA,61.3,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Low,NA
22-A-1584126,Ames,Ames E1,0,Low,75,LC_2233,1,17,2,1584126,NC262,NA,NA,4.103,NA,NA,14,NA,NA,NA,NA,NA,94.9,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584127,Ames,Ames E1,0,Low,75,LC_2233,1,6,3,1584127,RS 710,9.76,NA,3.844,2.389,NA,18,194,22.423,43.5,10.5,NA,52.9,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584127,Ames,Ames E1,0,Low,75,LC_2233,1,6,3,1584127,RS 710,11.855,NA,3.593,2.534,NA,16,130,32.385,42.1,12.9,NA,53.8,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584127,Ames,Ames E1,0,Low,75,LC_2233,1,6,3,1584127,RS 710,11.082,NA,3.494,2.242,NA,13,130,27.846,36.2,10.5,NA,46.5,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584127,Ames,Ames E1,0,Low,75,LC_2233,1,6,3,1584127,RS 710,12.775,NA,3.71,2.234,NA,12,178,26.011,46.3,13.6,NA,59,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584127,Ames,Ames E1,0,Low,75,LC_2233,1,6,3,1584127,RS 710,NA,NA,3.745,NA,NA,16,NA,NA,NA,NA,NA,49.7,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584127,Ames,Ames E1,0,Low,75,LC_2233,1,6,3,1584127,RS 710,NA,NA,3.657,NA,NA,16,NA,NA,NA,NA,NA,53.1,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584128,Ames,Ames E1,0,Low,75,LC_2233,1,4,3,1584128,MO47,11.92,NA,3.858,2.361,NA,16,254,24.646,62.6,10.3,NA,70.8,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584128,Ames,Ames E1,0,Low,75,LC_2233,1,4,3,1584128,MO47,9.731,NA,3.734,2.171,NA,14,199,23.216,46.2,8.1,NA,53.1,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584128,Ames,Ames E1,0,Low,75,LC_2233,1,4,3,1584128,MO47,10.234,NA,3.901,2.323,NA,14,223,23.229,51.8,8.1,NA,58.4,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584128,Ames,Ames E1,0,Low,75,LC_2233,1,4,3,1584128,MO47,12.938,NA,3.893,2.563,NA,14,140,28,39.2,16.3,NA,55.6,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Low,NA
22-A-1584128,Ames,Ames E1,0,Low,75,LC_2233,1,4,3,1584128,MO47,NA,NA,4.279,NA,NA,16,NA,NA,NA,NA,NA,90,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584129,Ames,Ames E1,0,Low,75,LC_2233,1,11,4,1584129,78010,14.737,NA,4.572,2.806,NA,16,305,29.148,88.9,21,NA,110,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584129,Ames,Ames E1,0,Low,75,LC_2233,1,11,4,1584129,78010,14.182,NA,4.526,2.854,NA,14,179,36.089,64.6,18.6,NA,82.3,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584129,Ames,Ames E1,0,Low,75,LC_2233,1,11,4,1584129,78010,14.721,NA,4.654,2.93,NA,14,278,35.54,98.8,23.9,NA,122.6,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584129,Ames,Ames E1,0,Low,75,LC_2233,1,11,4,1584129,78010,NA,NA,4.587,NA,NA,14,NA,NA,NA,NA,NA,83.7,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Low,NA
22-A-1584130,Ames,Ames E1,0,Low,75,LC_2233,1,12,2,1584130,LH57,13.866,NA,3.556,1.908,NA,10,276,23.297,64.3,7,NA,70.6,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584130,Ames,Ames E1,0,Low,75,LC_2233,1,12,2,1584130,LH57,18.055,NA,3.428,1.857,NA,10,319,24.326,77.6,9.4,NA,86,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584130,Ames,Ames E1,0,Low,75,LC_2233,1,12,2,1584130,LH57,NA,NA,3.394,NA,NA,12,NA,NA,NA,NA,NA,69.4,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584131,Ames,Ames E1,0,Low,75,LC_2233,1,10,2,1584131,PHG47,12.454,NA,3.568,2.061,NA,14,239,23.18,55.4,10,NA,64.7,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584131,Ames,Ames E1,0,Low,75,LC_2233,1,10,2,1584131,PHG47,13.739,NA,3.854,2.143,NA,16,319,22.539,71.9,10.6,NA,81.2,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Low,NA
22-A-1584131,Ames,Ames E1,0,Low,75,LC_2233,1,10,2,1584131,PHG47,15.291,NA,3.774,2.201,NA,16,337,25.223,85,14.3,NA,97.8,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584131,Ames,Ames E1,0,Low,75,LC_2233,1,10,2,1584131,PHG47,13.835,NA,3.598,1.993,NA,12,276,24.022,66.3,10.6,NA,76.1,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Low,NA
22-A-1584131,Ames,Ames E1,0,Low,75,LC_2233,1,10,2,1584131,PHG47,11.989,NA,3.565,2.108,NA,15,182,23.901,43.5,8.9,NA,51.5,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584131,Ames,Ames E1,0,Low,75,LC_2233,1,10,2,1584131,PHG47,NA,NA,3.587,NA,NA,12,NA,NA,NA,NA,NA,59.5,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Low,NA
22-A-1584132,Ames,Ames E1,0,Low,75,LC_2233,1,10,3,1584132,778,11.672,NA,4.262,2.147,NA,14,218,29.771,64.9,9.3,NA,73.3,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584132,Ames,Ames E1,0,Low,75,LC_2233,1,10,3,1584132,778,12.958,NA,4.215,2.372,NA,14,256,28.477,72.9,16.3,NA,85,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584132,Ames,Ames E1,0,Low,75,LC_2233,1,10,3,1584132,778,12.204,NA,4.259,2.092,NA,12,242,29.132,70.5,11.4,NA,80.6,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584132,Ames,Ames E1,0,Low,75,LC_2233,1,10,3,1584132,778,12.944,NA,3.723,2.3,NA,10,106,32.925,34.9,13,NA,47.2,;Cob broke in pieces;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Low,NA
22-A-1584132,Ames,Ames E1,0,Low,75,LC_2233,1,10,3,1584132,778,NA,NA,3.547,NA,NA,12,83,25.542,21.2,NA,NA,25.9,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584132,Ames,Ames E1,0,Low,75,LC_2233,1,10,3,1584132,778,NA,NA,3.688,NA,NA,12,NA,NA,NA,NA,NA,43.8,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Low,NA
22-A-1584133,Ames,Ames E1,0,Low,75,LC_2233,1,5,2,1584133,WIL500,16.931,NA,4.366,3.058,NA,14,184,29.728,54.7,34.1,NA,87,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Low,NA
22-A-1584133,Ames,Ames E1,0,Low,75,LC_2233,1,5,2,1584133,WIL500,14.305,NA,4.102,2.987,NA,14,160,26.375,42.2,25.9,NA,67.5,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Low,NA
22-A-1584133,Ames,Ames E1,0,Low,75,LC_2233,1,5,2,1584133,WIL500,15.02,NA,4.469,3.002,NA,14,212,30.708,65.1,29.4,NA,92.4,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Low,NA
22-A-1584133,Ames,Ames E1,0,Low,75,LC_2233,1,5,2,1584133,WIL500,15.051,NA,4.437,3.204,NA,12,117,28.205,33,30.4,NA,62.8,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Low,NA
22-A-1584133,Ames,Ames E1,0,Low,75,LC_2233,1,5,2,1584133,WIL500,NA,NA,3.91,NA,NA,14,NA,NA,NA,NA,NA,61.1,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Low,NA
22-A-1584134,Ames,Ames E1,0,Low,75,LC_2233,1,17,3,1584134,L127,15.155,NA,4.012,2.752,NA,12,NA,NA,NA,22.5,NA,97,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Low,NA
22-A-1584134,Ames,Ames E1,0,Low,75,LC_2233,1,17,3,1584134,L127,14.224,NA,3.791,2.762,NA,14,NA,NA,NA,16.2,NA,71.8,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Low,NA
22-A-1584134,Ames,Ames E1,0,Low,75,LC_2233,1,17,3,1584134,L127,14.371,NA,3.967,2.74,NA,14,NA,NA,NA,17.1,NA,82.6,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Low,NA
22-A-1584134,Ames,Ames E1,0,Low,75,LC_2233,1,17,3,1584134,L127,14.283,NA,4.12,2.777,NA,12,NA,NA,NA,18.5,NA,84.5,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Low,NA
22-A-1584134,Ames,Ames E1,0,Low,75,LC_2233,1,17,3,1584134,L127,11.073,NA,3.512,2.574,NA,12,NA,NA,NA,11.8,NA,48.3,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Low,NA
22-A-1584134,Ames,Ames E1,0,Low,75,LC_2233,1,17,3,1584134,L127,NA,NA,3.507,NA,NA,12,NA,NA,NA,NA,NA,61.6,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Low,NA
22-A-1584135,Ames,Ames E1,0,Low,75,LC_2233,1,8,3,1584135,NC360,15.709,NA,3.65,2.234,NA,14,243,24.362,59.2,18.5,NA,76,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584135,Ames,Ames E1,0,Low,75,LC_2233,1,8,3,1584135,NC360,17.133,NA,3.749,2.462,NA,16,219,23.516,51.5,21.5,NA,71.5,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584135,Ames,Ames E1,0,Low,75,LC_2233,1,8,3,1584135,NC360,17.572,NA,3.758,2.566,NA,12,194,28.969,56.2,25.5,NA,79.7,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Low,NA
22-A-1584135,Ames,Ames E1,0,Low,75,LC_2233,1,8,3,1584135,NC360,15.344,NA,3.548,2.374,NA,12,246,24.878,61.2,18.9,NA,77.6,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584135,Ames,Ames E1,0,Low,75,LC_2233,1,8,3,1584135,NC360,NA,NA,3.72,NA,NA,12,NA,NA,NA,NA,NA,82.5,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584136,Ames,Ames E1,0,Low,75,LC_2233,1,2,2,1584136,W117HT,8.382,NA,NA,1.392,NA,10,93,21.183,19.7,3.4,NA,NA,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584136,Ames,Ames E1,0,Low,75,LC_2233,1,2,2,1584136,W117HT,7.886,NA,NA,2.28,NA,12,92,31.739,29.2,6.6,NA,NA,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584136,Ames,Ames E1,0,Low,75,LC_2233,1,2,2,1584136,W117HT,8.506,NA,NA,1.725,NA,12,100,31.5,31.5,6.3,NA,NA,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584136,Ames,Ames E1,0,Low,75,LC_2233,1,2,2,1584136,W117HT,9.157,NA,NA,2.351,NA,12,110,29.182,32.1,8,NA,NA,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584136,Ames,Ames E1,0,Low,75,LC_2233,1,2,2,1584136,W117HT,8.514,NA,NA,2.385,NA,14,135,31.926,43.1,7.1,NA,NA,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584137,Ames,Ames E1,0,Low,75,LC_2233,1,9,3,1584137,MT42,11.727,NA,3.095,2.291,NA,14,176,19.318,34,9.5,NA,44.9,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584137,Ames,Ames E1,0,Low,75,LC_2233,1,9,3,1584137,MT42,11.897,NA,2.818,2.036,NA,12,98,18.469,18.1,6.8,NA,29.3,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584137,Ames,Ames E1,0,Low,75,LC_2233,1,9,3,1584137,MT42,12.888,NA,3.043,2.235,NA,11,124,20.403,25.3,9.3,NA,36.5,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584137,Ames,Ames E1,0,Low,75,LC_2233,1,9,3,1584137,MT42,8.237,NA,2.855,2.038,NA,14,59,20.678,12.2,4.3,NA,17.5,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584137,Ames,Ames E1,0,Low,75,LC_2233,1,9,3,1584137,MT42,10.965,NA,3.041,2.257,NA,12,155,20.065,31.1,8.3,NA,41.9,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584137,Ames,Ames E1,0,Low,75,LC_2233,1,9,3,1584137,MT42,NA,NA,2.874,NA,NA,12,NA,NA,NA,NA,NA,31.2,;;,2022,2022 Ames,2022 Ames Low,NA
