qrCode,year,location,sublocation,irrigationProvided,nitrogenTreatment,poundsOfNitrogenPerAcre,experiment,plotLength,totalStandCount,block,row,range,plotNumber,genotype,plantingDate,anthesisDate,silkDate,daysToAnthesis,daysToSilk,anthesisSilkingInterval,GDDToAnthesis,GDDToSilk,anthesisSilkingIntervalGDD,earHeight,flagLeafHeight,plantDensity,earLength,earFillLength,earWidth,shelledCobWidth,kernelsPerRow,kernelRowNumber,kernelsPerEar,hundredKernelMass,kernelMassPerEar,earWeight,shelledCobMass,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,kernelColor,percentLodging,notes,harvestDate,locationYear,environment,pedigreeID,resequencingSNPSGenotype
22-A-1584125,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,9,1,6,4,1584125,W22,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,29,98,1985,15.081,NA,3.936,2.341,NA,15,231,26.595,61.4,81,19.6,0.108533333,74.70580813,12.48631928,4.941895416,2.093011769,1.321302692,NA,NA,;;;;;;;;;x -set asside;;,10/23/2022,2022 Ames,2022 Ames Low,NA,W22
22-A-1584126,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,29,1,17,2,1584126,NC262,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,37,99,6397,10.661,NA,4.227,2.766,NA,15,243,25.276,61.3,72.8,11.5,0.1095,78.08908471,10.75187787,5.360089191,1.954235674,1.332473822,NA,NA,;;;;;;;;x - collect data; but alyze team may need to assess photos;;;x - collect data; but alyze team may need to assess photos;;;,10/23/2022,2022 Ames,2022 Ames Low,NA,NC262
22-A-1584127,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,25,1,6,3,1584127,RS 710,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,31,85,5515,11.368,NA,3.674,2.35,NA,15.2,158,26.598,42,53.875,11.875,0.101533333,74.66474748,12.82245803,5.538298924,0.780242995,1.267713695,NA,NA,;;;;;;;;;;;;;;,10/23/2022,2022 Ames,2022 Ames Low,NA,RS_710
22-A-1584128,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,30,1,4,3,1584128,MO47,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,44,118,6618,11.206,NA,3.933,2.355,NA,14.8,204,24.485,50,60.7,10.7,0.100366667,74.97588436,11.79674879,5.645421814,1.841905536,1.354997406,NA,NA,;;;;;;;;;x - collect data; but alyze team may need to assess photos;;x -set asside;;,10/23/2022,2022 Ames,2022 Ames Low,NA,Mo47
22-A-1584129,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,20,1,11,4,1584129,78010,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,66,134,4412,14.547,NA,4.585,2.863,NA,14.5,254,33.11,84.1,105.267,21.167,0.1051,76.28494514,11.82629382,3.979946266,2.762881894,1.302696277,NA,NA,;;;;;x -set asside;x - collect data; but alyze team may need to assess photos;x -set asside;;;;;,10/23/2022,2022 Ames,2022 Ames Low,NA,78010
22-A-1584130,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,32,1,12,2,1584130,LH57,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,27,109,7059,15.961,NA,3.459,1.883,NA,10.7,298,23.849,70.9,79.1,8.2,0.111033333,79.0710239,11.06269178,5.049533312,1.826702748,1.383129945,NA,NA,;;;;;;;;,10/23/2022,2022 Ames,2022 Ames Low,NA,LH57
22-A-1584131,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,28,1,10,2,1584131,PHG47,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,36,100,6176,13.462,NA,3.658,2.101,NA,14.2,271,23.806,64.4,75.28,10.88,0.101366667,76.19437471,11.61498359,5.002942201,1.535336232,1.391033887,NA,NA,;;;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;;x - collect data; but alyze team may need to assess photos;;,10/23/2022,2022 Ames,2022 Ames Low,NA,PHG47
22-A-1584132,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,29,1,10,3,1584132,778,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,51,135,6397,12.445,NA,3.949,2.228,NA,12.3,181,29.215,52.9,65.4,12.5,0.105966667,78.75287927,8.9662258520000009,4.403868795,2.477327639,1.334509077,NA,NA,;;;;Cob broke in pieces;Cob broke in pieces;;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;,10/23/2022,2022 Ames,2022 Ames Low,NA,NK778
22-A-1584133,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,23,1,5,2,1584133,WIL500,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,50,100,5074,15.327,NA,4.257,3.063,NA,13.6,168,28.975,48.8,78.75,29.95,0.104433333,68.7969678,17.74397242,4.928910245,2.680614516,1.600126757,NA,NA,;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x -set asside;;,10/23/2022,2022 Ames,2022 Ames Low,NA,WIL500
22-A-1584134,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,26,1,17,3,1584134,L127,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,36,93,5735,13.821,NA,3.818,2.721,NA,12.7,NA,NA,NA,NA,17.22,0.111,75.88025358,11.99097907,4.479181403,2.117213222,1.358075207,NA,NA,;;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;,10/23/2022,2022 Ames,2022 Ames Low,NA,L_127
22-A-1584135,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,33,1,8,3,1584135,NC360,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,58,102,7279,16.44,NA,3.685,2.409,NA,13.2,226,25.288,57,78.1,21.1,0.1049,72.27039982,13.63354687,5.887091008,1.768083269,1.447824804,NA,NA,;;;;;;x - collect data; but alyze team may need to assess photos;;;;;x -set asside;;,10/23/2022,2022 Ames,2022 Ames Low,NA,NC360
22-A-1584136,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,22,1,2,2,1584136,W117HT,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,35,78,4853,8.489,NA,NA,2.027,NA,12,106,29.358,31.1,37.38,6.28,0.1001,74.82245267,13.12674641,5.046495675,2.354300443,1.461257779,NA,NA,;;;;;;;;;;;;;,10/23/2022,2022 Ames,2022 Ames Low,NA,W117HT
22-A-1584137,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,28,1,9,3,1584137,MT42,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,38,109,6176,11.143,NA,2.954,2.171,NA,12.5,122,19.722,24.1,31.74,7.64,0.1147,76.68630421,13.26522422,5.158917956,2.262615427,1.335451418,NA,NA,;;;;;;;;;;;;;;,10/23/2022,2022 Ames,2022 Ames Low,NA,Mt42
22-A-1584138,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,29,1,11,2,1584138,CM37,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,30,98,6397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,;x -set asside;x -set asside;x -set asside;;,10/23/2022,2022 Ames,2022 Ames Low,NA,CM37
22-A-1584139,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,31,1,13,4,1584139,IDS69,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,56,118,6838,13.597,NA,2.863,1.573,NA,12.7,322,11.063,35.6,45.8,10.2,0.1064,70.52657382,14.73978488,4.5667489550000004,2.358360201,1.010186586,NA,NA,;;;;;;;;;;;;;;,10/23/2022,2022 Ames,2022 Ames Low,NA,IDS69
22-A-1584140,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,23,1,15,2,1584140,CML220,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,43,100,5074,12.556,NA,4.004,2.602,NA,13,130,32.308,42,57,15,0.0991,71.65677552,16.24805535,4.649124507,2.009828446,1.593426638,NA,NA,;;;;;;;;x - collect data; but alyze team may need to assess photos;;,10/23/2022,2022 Ames,2022 Ames Low,NA,CML_220
22-A-1584141,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,35,1,7,4,1584141,EP1,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,33,97,7721,10.552,NA,3.241,2.426,NA,13.5,142,19.86,28.3,35.7,7.4,0.110333333,76.53762064,12.22556355,4.704391367,1.583344604,1.246589962,NA,NA,;;;;;;;;;;;;;;,10/23/2022,2022 Ames,2022 Ames Low,NA,EP1
22-A-1584142,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,30,1,6,2,1584142,I29,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,52,105,6618,10.608,NA,3.387,2.435,NA,17.7,236,12.073,28.5,44.48,15.98,0.106766667,70.82198873,15.64665264,3.714263626,2.982791056,1.207405931,NA,NA,;;;;;;;;;;;;;;,10/23/2022,2022 Ames,2022 Ames Low,NA,I29
22-A-1584143,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,30,1,3,4,1584143,NC302,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,43,85,6618,10.567,NA,NA,2.138,NA,10,86,31.098,26.9,34.675,7.775,0.115666667,76.66582157,13.83908714,3.76343811,2.207879014,1.24888093,NA,NA,;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x -set asside;x - collect data; but alyze team may need to assess photos;;,10/23/2022,2022 Ames,2022 Ames Low,NA,NC302
22-A-1584144,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,25,1,12,4,1584144,NC346,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,85,149,5515,14.503,NA,3.539,2.562,NA,11.3,145,28.512,41.4,52.38,10.98,0.104133333,73.63397279,13.24898697,4.389640108,2.554441087,1.511770644,NA,NA,;;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;;;;;,10/23/2022,2022 Ames,2022 Ames Low,NA,NC346
22-A-1584145,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,27,1,10,4,1584145,YU796_NS,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,32,120,5956,11.163,NA,4.016,2.342,NA,11.3,227,29.453,66.7,83.42,16.72,0.103766667,73.17073481,14.24224353,4.836360256,2.136503299,1.373795052,NA,NA,;;;;;;;;;;;;;;,10/23/2022,2022 Ames,2022 Ames Low,NA,YU796NS
22-A-1584146,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,31,1,5,3,1584146,P39,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,36,99,6838,11.132,NA,3.283,1.781,NA,14,93,14.806,13.7,19.16,5.46,NA,NA,NA,NA,NA,NA,NA,NA,;;;;;;;x - collect data; but alyze team may need to assess photos;Sweetcorn;x - collect data; but alyze team may need to assess photos;Sweetcorn;x - collect data; but alyze team may need to assess photos;Sweetcorn;x - collect data; but alyze team may need to assess photos;Sweetcorn;x - collect data; but alyze team may need to assess photos;Sweetcorn;x - collect data; but alyze team may need to assess photos;Sweetcorn;;,10/23/2022,2022 Ames,2022 Ames Low,NA,P39
22-A-1584147,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,22,1,8,4,1584147,IA2132,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,28,97,4853,12.529,NA,4.213,2.532,NA,17.5,221,15.407,34.1,45.167,11.067,0.1096,73.19425299,16.59937755,4.999526526,1.488041576,1.383204702,NA,NA,;;;;;x - collect data; but alyze team may need to assess photos;Sweetcorn;x - collect data; but alyze team may need to assess photos;Sweetcorn;x - collect data; but alyze team may need to assess photos;Sweetcorn;x - collect data; but alyze team may need to assess photos;Sweetcorn;x -set asside;x -set asside;;,10/23/2022,2022 Ames,2022 Ames Low,NA,IA2132
22-A-1584148,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,34,1,13,2,1584148,F7,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,30,74,7500,8.509,NA,3.117,1.909,NA,10.7,79,20.227,16.1,22.22,6.12,0.104233333,69.57911001,14.0735672,4.784889283,3.522872296,1.171470355,NA,NA,;;;;;;;;;;;x - collect data; but alyze team may need to assess photos;;;,10/23/2022,2022 Ames,2022 Ames Low,NA,F7
22-A-1584149,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,35,1,3,2,1584149,H99,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,22,92,7721,13.459,NA,NA,2.157,NA,10.4,158,26.349,41.5,53.425,11.925,NA,NA,NA,NA,NA,NA,NA,NA,;;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x -set asside;x - collect data; but alyze team may need to assess photos;;,10/23/2022,2022 Ames,2022 Ames Low,NA,H99
22-A-1584150,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,25,1,2,3,1584150,A654,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,28,90,5515,11.585,NA,NA,2.116,NA,12.3,187,25.413,47.4,58.26,10.86,0.102633333,77.16747277,12.04080552,4.048549101,1.593756191,1.283283505,NA,NA,;;;;;;;;;;;;;,10/23/2022,2022 Ames,2022 Ames Low,NA,A654
22-A-1584151,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,27,1,9,2,1584151,CI66,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,40,102,5956,5.608,NA,3.827,2.253,NA,13,58,16.034,9.3,15.1,5.8,NA,NA,NA,NA,NA,NA,NA,NA,;;;x -set asside;x -set asside;;;;,10/23/2022,2022 Ames,2022 Ames Low,NA,CI66
22-A-1584152,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,17,1,5,4,1584152,W153R,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,3750,12.26,NA,3.771,2.172,NA,12.7,246,26.792,65.8,76.06,10.26,0.108566667,77.08284574,12.20239066,4.727833871,1.606333231,1.497558719,NA,NA,;;;;;;;;;;;;;;,10/23/2022,2022 Ames,2022 Ames Low,NA,W153R
22-A-1584153,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,33,1,14,2,1584153,779,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,55,104,7279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,;x -set asside;x -set asside;x -set asside;x -set asside;x -set asside;x -set asside;;,10/23/2022,2022 Ames,2022 Ames Low,NA,779
22-A-1584154,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,31,1,11,3,1584154,S8324,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,28,98,6838,10.596,NA,3.848,2.287,NA,14.8,219,24.174,52.9,62.64,9.74,0.104566667,77.6298516,10.48057122,5.138480748,1.924737658,1.509084518,NA,NA,;;;;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;,10/23/2022,2022 Ames,2022 Ames Low,NA,S8324
22-A-1584155,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,29,1,16,2,1584155,LH1,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,33,106,6397,14.74,NA,4.277,2.694,NA,16,286,28.526,81.6,105.74,24.14,0.0983,77.3696513,9.659074168,4.595826998,1.844746364,1.393928662,NA,NA,;;;;;;;x - collect data; but alyze team may need to assess photos;;;;;x - collect data; but alyze team may need to assess photos;;,10/23/2022,2022 Ames,2022 Ames Low,NA,LH1
22-A-1584156,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,27,1,2,4,1584156,B73,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,81,161,5956,11.823,NA,NA,2.71,NA,15.7,188,24.168,45.3,61.56,16.26,0.1021,77.39474296,11.36132111,4.027100257,1.740613691,1.240280719,NA,NA,Check;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;;;;;,10/23/2022,2022 Ames,2022 Ames Low,NA,B73
22-A-1584157,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,29,1,8,2,1584157,B73,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,66,156,6397,12.863,NA,4.558,2.742,NA,16,227,25.998,59.1,79.5,20.4,0.106166667,76.96991953,10.53476823,4.175826241,1.952645565,1.389316569,NA,NA,Check;;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;;,10/23/2022,2022 Ames,2022 Ames Low,NA,B73
22-A-1584158,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,24,1,16,3,1584158,B73,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,73,162,5294,NA,NA,4.522,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Check;;;;,10/23/2022,2022 Ames,2022 Ames Low,NA,B73
22-A-1584159,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,33,1,4,2,1584159,B73,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,71,161,7279,12.575,NA,4.568,2.915,NA,17.7,309,24.757,76.5,98.22,21.72,0.101633333,77.63571304,9.941425647,4.555629157,1.722272924,1.32992954,NA,NA,Check;;;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;x - collect data; but alyze team may need to assess photos;;;,10/23/2022,2022 Ames,2022 Ames Low,NA,B73
22-A-1584160,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,33,1,12,3,1584160,B73,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,72,152,7279,13.348,NA,4.296,2.803,NA,15.8,348,22.786,79.3,100.86,21.56,0.1075,79.05672745,8.892605473,4.046525618,1.690709656,1.297248877,NA,NA,Check;;;;;x-counting;;;;;;;x - collect data; but alyze team may need to assess photos;;,10/23/2022,2022 Ames,2022 Ames Low,NA,B73
22-A-1584161,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,27,1,14,8,1584161,K55,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,45,116,5956,13.187,NA,4.655,3.049,NA,16,328,27.84,91.3,121.04,29.74,0.105233333,73.92670005,13.35191099,4.404982746,2.127334556,1.378091851,NA,NA,;;;;;;;;x - collect data; but alyze team may need to assess photos;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;,10/23/2022,2022 Ames,2022 Ames Low,NA,K55
22-A-1584162,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,36,1,7,8,1584162,VA99,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,70,136,7941,12.118,NA,3.838,2.52,NA,16,244,26.978,65.9,78.76,12.86,0.108533333,76.66094641,11.46341003,4.034991868,1.606449558,1.233180016,NA,NA,;;;;;;;;;;;;;;,10/23/2022,2022 Ames,2022 Ames Low,NA,Va99
22-A-1584163,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,31,1,8,6,1584163,AQA3,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,44,122,6838,12.246,NA,4.147,2.584,NA,13.7,254,28.455,72.2,85.12,12.92,0.113866667,77.55520271,12.87137871,4.033134339,1.782968732,1.328831276,NA,NA,;;Cob broke in pieces;Cob broke in pieces;;;;;;;;;;;;,10/23/2022,2022 Ames,2022 Ames Low,NA,AQA3
22-A-1584164,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,29,1,13,10,1584164,3IIH6,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,61,154,6397,15.277,NA,3.771,2.131,NA,14.3,339,25.805,87.5,100.98,13.48,0.105766667,81.24773091,8.895529128,5.068884442,1.071284013,1.367257598,NA,NA,;;;;;;;;;;;;x - collect data; but alyze team may need to assess photos;;,10/23/2022,2022 Ames,2022 Ames Low,NA,DK3IIH6
22-A-1584165,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,30,1,7,6,1584165,PHV63,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,50,126,6618,14.801,NA,3.984,2.673,NA,14.8,276,21.946,60.6,80.225,19.625,0.116,79.45889166,11.43142695,5.178206166,2.02186312,1.360705988,NA,NA,;;;Cob broke in pieces;Cob broke in pieces;;;;x - collect data; but alyze team may need to assess photos;;;;;,10/23/2022,2022 Ames,2022 Ames Low,NA,PHV63
22-A-1584166,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,27,1,15,10,1584166,11430,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,;;;,10/23/2022,2022 Ames,2022 Ames Low,NA,11430
22-A-1584167,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,33,1,11,6,1584167,NC236,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,95,175,7279,16.279,NA,4.429,2.697,NA,13,433,28.007,121.2,146.78,25.58,0.108533333,74.24859085,13.53132515,5.435763272,1.807845607,1.480606653,NA,NA,;;;;;;;;;;;;;;,10/23/2022,2022 Ames,2022 Ames Low,NA,NC236
22-A-1584168,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,32,1,2,5,1584168,A634,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,65,143,7059,13.7,NA,NA,2.601,NA,14.3,235,28.815,67.6,85.18,17.58,0.101966667,73.92343594,13.68528996,5.026265622,2.298126191,1.417737678,NA,NA,;;;;;;;;;;;;;,10/23/2022,2022 Ames,2022 Ames Low,NA,A634
