genotype_mbna,genotype_mb,qrCode_mbna,qrCode_mb,plotNumber_mbna,environment_mbna,environment_mb,earLength_mbna,earLength_mb
MBNA,MB,22-A-1594886,22-A-1594886,1594886,2022 Ames Medium,2022 Ames Medium,15.091,13.131
MBNA,MB,22-A-1594886,22-A-1594886,1594886,2022 Ames Medium,2022 Ames Medium,12.165,13.131
MBNA,MB,22-A-1594886,22-A-1594886,1594886,2022 Ames Medium,2022 Ames Medium,13.372,13.131
MBNA,MB,22-A-1594886,22-A-1594886,1594886,2022 Ames Medium,2022 Ames Medium,13.646,13.131
MBNA,MB,22-A-1594886,22-A-1594886,1594886,2022 Ames Medium,2022 Ames Medium,NA,13.131
MBNA,MB,22-C-1595331,22-C-1595331,1595331,2022 Crawfordsville High,2022 Crawfordsville High,12.54,11.933
MBNA,MB,22-C-1595331,22-C-1595331,1595331,2022 Crawfordsville High,2022 Crawfordsville High,11.694,11.933
MBNA,MB,22-C-1595331,22-C-1595331,1595331,2022 Crawfordsville High,2022 Crawfordsville High,12.77,11.933
MBNA,MB,22-C-1595331,22-C-1595331,1595331,2022 Crawfordsville High,2022 Crawfordsville High,11.057,11.933
MBNA,MB,22-C-1595331,22-C-1595331,1595331,2022 Crawfordsville High,2022 Crawfordsville High,11.605,11.933
MBNA,MB,22-C-1595331,22-C-1595331,1595331,2022 Crawfordsville High,2022 Crawfordsville High,NA,11.933
MBNA,MB,22-C-1595707,22-C-1595707,1595707,2022 Crawfordsville High,2022 Crawfordsville High,10.997,15.099
MBNA,MB,22-C-1595707,22-C-1595707,1595707,2022 Crawfordsville High,2022 Crawfordsville High,14.636,15.099
MBNA,MB,22-C-1595707,22-C-1595707,1595707,2022 Crawfordsville High,2022 Crawfordsville High,14.272,15.099
MBNA,MB,22-C-1595707,22-C-1595707,1595707,2022 Crawfordsville High,2022 Crawfordsville High,14.236,15.099
MBNA,MB,22-C-1595707,22-C-1595707,1595707,2022 Crawfordsville High,2022 Crawfordsville High,21.353,15.099
MBNA,MB,22-C-1595707,22-C-1595707,1595707,2022 Crawfordsville High,2022 Crawfordsville High,NA,15.099
MBNA,MB,22-C-1596072,22-C-1596072,1596072,2022 Crawfordsville Low,2022 Crawfordsville Low,11.405,13.078
MBNA,MB,22-C-1596072,22-C-1596072,1596072,2022 Crawfordsville Low,2022 Crawfordsville Low,12.288,13.078
MBNA,MB,22-C-1596072,22-C-1596072,1596072,2022 Crawfordsville Low,2022 Crawfordsville Low,13.562,13.078
MBNA,MB,22-C-1596072,22-C-1596072,1596072,2022 Crawfordsville Low,2022 Crawfordsville Low,15.73,13.078
MBNA,MB,22-C-1596072,22-C-1596072,1596072,2022 Crawfordsville Low,2022 Crawfordsville Low,12.404,13.078
MBNA,MB,22-C-1596448,22-C-1596448,1596448,2022 Crawfordsville Low,2022 Crawfordsville Low,13.25,12.71
MBNA,MB,22-C-1596448,22-C-1596448,1596448,2022 Crawfordsville Low,2022 Crawfordsville Low,12.672,12.71
MBNA,MB,22-C-1596448,22-C-1596448,1596448,2022 Crawfordsville Low,2022 Crawfordsville Low,12.37,12.71
MBNA,MB,22-C-1596448,22-C-1596448,1596448,2022 Crawfordsville Low,2022 Crawfordsville Low,11.739,12.71
MBNA,MB,22-C-1596448,22-C-1596448,1596448,2022 Crawfordsville Low,2022 Crawfordsville Low,13.519,12.71
MBNA,MB,22-C-1596448,22-C-1596448,1596448,2022 Crawfordsville Low,2022 Crawfordsville Low,NA,12.71
MBNA,MB,22-C-1596824,22-C-1596824,1596824,2022 Crawfordsville Medium,2022 Crawfordsville Medium,12.618,12.028
MBNA,MB,22-C-1596824,22-C-1596824,1596824,2022 Crawfordsville Medium,2022 Crawfordsville Medium,11.149,12.028
MBNA,MB,22-C-1596824,22-C-1596824,1596824,2022 Crawfordsville Medium,2022 Crawfordsville Medium,13.502,12.028
MBNA,MB,22-C-1596824,22-C-1596824,1596824,2022 Crawfordsville Medium,2022 Crawfordsville Medium,10.007,12.028
MBNA,MB,22-C-1596824,22-C-1596824,1596824,2022 Crawfordsville Medium,2022 Crawfordsville Medium,12.866,12.028
MBNA,MB,22-C-1596824,22-C-1596824,1596824,2022 Crawfordsville Medium,2022 Crawfordsville Medium,NA,12.028
MBNA,MB,22-C-1597200,22-C-1597200,1597200,2022 Crawfordsville Medium,2022 Crawfordsville Medium,12.3,12.364
MBNA,MB,22-C-1597200,22-C-1597200,1597200,2022 Crawfordsville Medium,2022 Crawfordsville Medium,12.902,12.364
MBNA,MB,22-C-1597200,22-C-1597200,1597200,2022 Crawfordsville Medium,2022 Crawfordsville Medium,14.442,12.364
MBNA,MB,22-C-1597200,22-C-1597200,1597200,2022 Crawfordsville Medium,2022 Crawfordsville Medium,10.506,12.364
MBNA,MB,22-C-1597200,22-C-1597200,1597200,2022 Crawfordsville Medium,2022 Crawfordsville Medium,11.668,12.364
MBNA,MB,22-C-1597200,22-C-1597200,1597200,2022 Crawfordsville Medium,2022 Crawfordsville Medium,NA,12.364
MBNA,MB,LINCOLN$SAM$REP1$PLOT1080$ROW27$RANGE3$MBNA,LINCOLN$SAM$REP1$PLOT1080$ROW27$RANGE3$MB,1080,2022 Lincoln Medium,2022 Lincoln Medium,15.43,13.766
MBNA,MB,LINCOLN$SAM$REP1$PLOT1080$ROW27$RANGE3$MBNA,LINCOLN$SAM$REP1$PLOT1080$ROW27$RANGE3$MB,1080,2022 Lincoln Medium,2022 Lincoln Medium,13.134,13.766
MBNA,MB,LINCOLN$SAM$REP1$PLOT1080$ROW27$RANGE3$MBNA,LINCOLN$SAM$REP1$PLOT1080$ROW27$RANGE3$MB,1080,2022 Lincoln Medium,2022 Lincoln Medium,12.6,13.766
MBNA,MB,LINCOLN$SAM$REP1$PLOT1080$ROW27$RANGE3$MBNA,LINCOLN$SAM$REP1$PLOT1080$ROW27$RANGE3$MB,1080,2022 Lincoln Medium,2022 Lincoln Medium,15.52,13.766
MBNA,MB,LINCOLN$SAM$REP1$PLOT1080$ROW27$RANGE3$MBNA,LINCOLN$SAM$REP1$PLOT1080$ROW27$RANGE3$MB,1080,2022 Lincoln Medium,2022 Lincoln Medium,11.342,13.766
MBNA,MB,LINCOLN$SAM$REP1$PLOT1080$ROW27$RANGE3$MBNA,LINCOLN$SAM$REP1$PLOT1080$ROW27$RANGE3$MB,1080,2022 Lincoln Medium,2022 Lincoln Medium,14.567,13.766
MBNA,MB,LINCOLN$SAM$REP2$PLOT2203$ROW40$RANGE12$MBNA,LINCOLN$SAM$REP2$PLOT2203$ROW40$RANGE12$MB,2203,2022 Lincoln Medium,2022 Lincoln Medium,11.353,9.869
MBNA,MB,LINCOLN$SAM$REP2$PLOT2203$ROW40$RANGE12$MBNA,LINCOLN$SAM$REP2$PLOT2203$ROW40$RANGE12$MB,2203,2022 Lincoln Medium,2022 Lincoln Medium,10.538,9.869
MBNA,MB,LINCOLN$SAM$REP2$PLOT2203$ROW40$RANGE12$MBNA,LINCOLN$SAM$REP2$PLOT2203$ROW40$RANGE12$MB,2203,2022 Lincoln Medium,2022 Lincoln Medium,10.505,9.869
MBNA,MB,LINCOLN$SAM$REP2$PLOT2203$ROW40$RANGE12$MBNA,LINCOLN$SAM$REP2$PLOT2203$ROW40$RANGE12$MB,2203,2022 Lincoln Medium,2022 Lincoln Medium,7.079,9.869
MBNA,MB,LINCOLN$SAM$REP2$PLOT2203$ROW40$RANGE12$MBNA,LINCOLN$SAM$REP2$PLOT2203$ROW40$RANGE12$MB,2203,2022 Lincoln Medium,2022 Lincoln Medium,NA,9.869
MBNA,MB,LINCOLN$SAM$REP2$PLOT2203$ROW40$RANGE12$MBNA,LINCOLN$SAM$REP2$PLOT2203$ROW40$RANGE12$MB,2203,2022 Lincoln Medium,2022 Lincoln Medium,NA,9.869
MBNA,MB,MV$INBRED-HIPS$REP1$PLOT282$ROW59$RANGE34$MBNA,MV$INBRED-HIPS$REP1$PLOT282$ROW59$RANGE34$MB,282,2022 Missouri Valley Medium,2022 Missouri Valley Medium,15.356,12.463
MBNA,MB,MV$INBRED-HIPS$REP1$PLOT282$ROW59$RANGE34$MBNA,MV$INBRED-HIPS$REP1$PLOT282$ROW59$RANGE34$MB,282,2022 Missouri Valley Medium,2022 Missouri Valley Medium,13.402,12.463
MBNA,MB,MV$INBRED-HIPS$REP1$PLOT282$ROW59$RANGE34$MBNA,MV$INBRED-HIPS$REP1$PLOT282$ROW59$RANGE34$MB,282,2022 Missouri Valley Medium,2022 Missouri Valley Medium,8.276,12.463
MBNA,MB,MV$INBRED-HIPS$REP1$PLOT282$ROW59$RANGE34$MBNA,MV$INBRED-HIPS$REP1$PLOT282$ROW59$RANGE34$MB,282,2022 Missouri Valley Medium,2022 Missouri Valley Medium,12.46,12.463
MBNA,MB,MV$INBRED-HIPS$REP1$PLOT282$ROW59$RANGE34$MBNA,MV$INBRED-HIPS$REP1$PLOT282$ROW59$RANGE34$MB,282,2022 Missouri Valley Medium,2022 Missouri Valley Medium,12.272,12.463
MBNA,MB,MV$INBRED-HIPS$REP1$PLOT282$ROW59$RANGE34$MBNA,MV$INBRED-HIPS$REP1$PLOT282$ROW59$RANGE34$MB,282,2022 Missouri Valley Medium,2022 Missouri Valley Medium,13.014,12.463
MBNA,MB,MV$INBRED-HIPS$REP2$PLOT170$ROW60$RANGE63$MBNA,MV$INBRED-HIPS$REP2$PLOT170$ROW60$RANGE63$MB,570,2022 Missouri Valley Medium,2022 Missouri Valley Medium,10.13,9.595
MBNA,MB,MV$INBRED-HIPS$REP2$PLOT170$ROW60$RANGE63$MBNA,MV$INBRED-HIPS$REP2$PLOT170$ROW60$RANGE63$MB,570,2022 Missouri Valley Medium,2022 Missouri Valley Medium,11.369,9.595
MBNA,MB,MV$INBRED-HIPS$REP2$PLOT170$ROW60$RANGE63$MBNA,MV$INBRED-HIPS$REP2$PLOT170$ROW60$RANGE63$MB,570,2022 Missouri Valley Medium,2022 Missouri Valley Medium,10.86,9.595
MBNA,MB,MV$INBRED-HIPS$REP2$PLOT170$ROW60$RANGE63$MBNA,MV$INBRED-HIPS$REP2$PLOT170$ROW60$RANGE63$MB,570,2022 Missouri Valley Medium,2022 Missouri Valley Medium,8.017,9.595
MBNA,MB,MV$INBRED-HIPS$REP2$PLOT170$ROW60$RANGE63$MBNA,MV$INBRED-HIPS$REP2$PLOT170$ROW60$RANGE63$MB,570,2022 Missouri Valley Medium,2022 Missouri Valley Medium,9.936,9.595
MBNA,MB,MV$INBRED-HIPS$REP2$PLOT170$ROW60$RANGE63$MBNA,MV$INBRED-HIPS$REP2$PLOT170$ROW60$RANGE63$MB,570,2022 Missouri Valley Medium,2022 Missouri Valley Medium,7.256,9.595
MBNA,MB,SCOTTSBLUFF$INBRED-HIPS$REP1$PLOT47$ROW15$RANGE49$MBNA,SCOTTSBLUFF$INBRED-HIPS$REP1$PLOT47$ROW15$RANGE49$MB,47,2022 Scottsbluff Medium,2022 Scottsbluff High,14.781,13.322
MBNA,MB,SCOTTSBLUFF$INBRED-HIPS$REP1$PLOT47$ROW15$RANGE49$MBNA,SCOTTSBLUFF$INBRED-HIPS$REP1$PLOT47$ROW15$RANGE49$MB,47,2022 Scottsbluff Medium,2022 Scottsbluff High,14.517,13.322
MBNA,MB,SCOTTSBLUFF$INBRED-HIPS$REP1$PLOT47$ROW15$RANGE49$MBNA,SCOTTSBLUFF$INBRED-HIPS$REP1$PLOT47$ROW15$RANGE49$MB,47,2022 Scottsbluff Medium,2022 Scottsbluff High,14.016,13.322
MBNA,MB,SCOTTSBLUFF$INBRED-HIPS$REP1$PLOT47$ROW15$RANGE49$MBNA,SCOTTSBLUFF$INBRED-HIPS$REP1$PLOT47$ROW15$RANGE49$MB,47,2022 Scottsbluff Medium,2022 Scottsbluff High,13.071,13.322
MBNA,MB,SCOTTSBLUFF$INBRED-HIPS$REP1$PLOT47$ROW15$RANGE49$MBNA,SCOTTSBLUFF$INBRED-HIPS$REP1$PLOT47$ROW15$RANGE49$MB,47,2022 Scottsbluff Medium,2022 Scottsbluff High,11.836,13.322
MBNA,MB,SCOTTSBLUFF$INBRED-HIPS$REP1$PLOT47$ROW15$RANGE49$MBNA,SCOTTSBLUFF$INBRED-HIPS$REP1$PLOT47$ROW15$RANGE49$MB,47,2022 Scottsbluff Medium,2022 Scottsbluff High,11.711,13.322
MBNA,MB,SCOTTSBLUFF$INBRED-HIPS$REP2$PLOT480$ROW8$RANGE19$MBNA,SCOTTSBLUFF$INBRED-HIPS$REP2$PLOT480$ROW8$RANGE19$MB,480,2022 Scottsbluff Medium,2022 Scottsbluff High,15.268,13.302
MBNA,MB,SCOTTSBLUFF$INBRED-HIPS$REP2$PLOT480$ROW8$RANGE19$MBNA,SCOTTSBLUFF$INBRED-HIPS$REP2$PLOT480$ROW8$RANGE19$MB,480,2022 Scottsbluff Medium,2022 Scottsbluff High,13.599,13.302
MBNA,MB,SCOTTSBLUFF$INBRED-HIPS$REP2$PLOT480$ROW8$RANGE19$MBNA,SCOTTSBLUFF$INBRED-HIPS$REP2$PLOT480$ROW8$RANGE19$MB,480,2022 Scottsbluff Medium,2022 Scottsbluff High,11.708,13.302
MBNA,MB,SCOTTSBLUFF$INBRED-HIPS$REP2$PLOT480$ROW8$RANGE19$MBNA,SCOTTSBLUFF$INBRED-HIPS$REP2$PLOT480$ROW8$RANGE19$MB,480,2022 Scottsbluff Medium,2022 Scottsbluff High,11.875,13.302
MBNA,MB,SCOTTSBLUFF$INBRED-HIPS$REP2$PLOT480$ROW8$RANGE19$MBNA,SCOTTSBLUFF$INBRED-HIPS$REP2$PLOT480$ROW8$RANGE19$MB,480,2022 Scottsbluff Medium,2022 Scottsbluff High,14.518,13.302
MBNA,MB,SCOTTSBLUFF$INBRED-HIPS$REP2$PLOT480$ROW8$RANGE19$MBNA,SCOTTSBLUFF$INBRED-HIPS$REP2$PLOT480$ROW8$RANGE19$MB,480,2022 Scottsbluff Medium,2022 Scottsbluff High,12.842,13.302
MBNA,NA,23-A-1736666,NA,1736666,2023 Ames Low,NA,15.057,NA
MBNA,NA,23-A-1736666,NA,1736666,2023 Ames Low,NA,NA,NA
MBNA,NA,23-A-1736666,NA,1736666,2023 Ames Low,NA,15.507,NA
MBNA,NA,23-A-1736666,NA,1736666,2023 Ames Low,NA,15.756,NA
MBNA,NA,23-A-1736666,NA,1736666,2023 Ames Low,NA,13.867,NA
MBNA,NA,23-A-1736666,NA,1736666,2023 Ames Low,NA,14.673,NA
MBNA,NA,23-A-1737051,NA,1737051,2023 Ames Low,NA,16.759,NA
MBNA,NA,23-A-1737051,NA,1737051,2023 Ames Low,NA,15.321000000000002,NA
MBNA,NA,23-A-1737051,NA,1737051,2023 Ames Low,NA,15.522,NA
MBNA,NA,23-A-1737051,NA,1737051,2023 Ames Low,NA,NA,NA
MBNA,NA,23-A-1737051,NA,1737051,2023 Ames Low,NA,17.268,NA
MBNA,NA,23-A-1737051,NA,1737051,2023 Ames Low,NA,15.14,NA
MBNA,NA,23-A-1730882,NA,1730882,2023 Ames Medium,NA,15.793,NA
MBNA,NA,23-A-1730882,NA,1730882,2023 Ames Medium,NA,16.128,NA
MBNA,NA,23-A-1730882,NA,1730882,2023 Ames Medium,NA,16.327,NA
MBNA,NA,23-A-1730882,NA,1730882,2023 Ames Medium,NA,18.742,NA
MBNA,NA,23-A-1730882,NA,1730882,2023 Ames Medium,NA,NA,NA
MBNA,NA,23-A-1730882,NA,1730882,2023 Ames Medium,NA,16.685,NA
MBNA,NA,23-A-1731278,NA,1731278,2023 Ames Medium,NA,15.308000000000002,NA
MBNA,NA,23-A-1731278,NA,1731278,2023 Ames Medium,NA,15.714,NA
MBNA,NA,23-A-1731278,NA,1731278,2023 Ames Medium,NA,17.430000000000003,NA
MBNA,NA,23-A-1731278,NA,1731278,2023 Ames Medium,NA,16.432,NA
MBNA,NA,23-A-1731278,NA,1731278,2023 Ames Medium,NA,16.636000000000003,NA
MBNA,NA,23-A-1731278,NA,1731278,2023 Ames Medium,NA,NA,NA
MBNA,NA,23-A-1737436,NA,1737436,2023 Ames High,NA,15.531,NA
MBNA,NA,23-A-1737436,NA,1737436,2023 Ames High,NA,15.931,NA
MBNA,NA,23-A-1737436,NA,1737436,2023 Ames High,NA,12.285,NA
MBNA,NA,23-A-1737436,NA,1737436,2023 Ames High,NA,15.14,NA
MBNA,NA,23-A-1737436,NA,1737436,2023 Ames High,NA,15.978000000000002,NA
MBNA,NA,23-A-1737436,NA,1737436,2023 Ames High,NA,NA,NA
MBNA,NA,23-A-1737821,NA,1737821,2023 Ames High,NA,NA,NA
MBNA,NA,23-A-1737821,NA,1737821,2023 Ames High,NA,NA,NA
MBNA,NA,23-A-1737821,NA,1737821,2023 Ames High,NA,14.669,NA
MBNA,NA,23-A-1737821,NA,1737821,2023 Ames High,NA,14.896,NA
MBNA,NA,23-A-1737821,NA,1737821,2023 Ames High,NA,14.523,NA
MBNA,NA,23-A-1737821,NA,1737821,2023 Ames High,NA,13.004,NA
MBNA,NA,23-C-1738218,NA,1738218,2023 Crawfordsville Low,NA,11.707,NA
MBNA,NA,23-C-1738218,NA,1738218,2023 Crawfordsville Low,NA,10.278,NA
MBNA,NA,23-C-1738218,NA,1738218,2023 Crawfordsville Low,NA,10.866,NA
MBNA,NA,23-C-1738218,NA,1738218,2023 Crawfordsville Low,NA,NA,NA
MBNA,NA,23-C-1738218,NA,1738218,2023 Crawfordsville Low,NA,11.37,NA
MBNA,NA,23-C-1738218,NA,1738218,2023 Crawfordsville Low,NA,12.448,NA
MBNA,NA,23-C-1738603,NA,1738603,2023 Crawfordsville Low,NA,12.679000000000002,NA
MBNA,NA,23-C-1738603,NA,1738603,2023 Crawfordsville Low,NA,13.255000000000004,NA
MBNA,NA,23-C-1738603,NA,1738603,2023 Crawfordsville Low,NA,9.804000000000002,NA
MBNA,NA,23-C-1738603,NA,1738603,2023 Crawfordsville Low,NA,NA,NA
MBNA,NA,23-C-1738603,NA,1738603,2023 Crawfordsville Low,NA,12.191,NA
MBNA,NA,23-C-1738603,NA,1738603,2023 Crawfordsville Low,NA,11.691,NA
MBNA,NA,23-C-1733205,NA,1733205,2023 Crawfordsville Medium,NA,14.093000000000002,NA
MBNA,NA,23-C-1733205,NA,1733205,2023 Crawfordsville Medium,NA,NA,NA
MBNA,NA,23-C-1733205,NA,1733205,2023 Crawfordsville Medium,NA,8.399,NA
MBNA,NA,23-C-1733205,NA,1733205,2023 Crawfordsville Medium,NA,12.45,NA
MBNA,NA,23-C-1733205,NA,1733205,2023 Crawfordsville Medium,NA,10.968000000000002,NA
MBNA,NA,23-C-1733205,NA,1733205,2023 Crawfordsville Medium,NA,13.19,NA
MBNA,NA,23-C-1733601,NA,1733601,2023 Crawfordsville Medium,NA,NA,NA
MBNA,NA,23-C-1733601,NA,1733601,2023 Crawfordsville Medium,NA,10.531,NA
MBNA,NA,23-C-1733601,NA,1733601,2023 Crawfordsville Medium,NA,14.011000000000005,NA
MBNA,NA,23-C-1733601,NA,1733601,2023 Crawfordsville Medium,NA,15.623,NA
MBNA,NA,23-C-1733601,NA,1733601,2023 Crawfordsville Medium,NA,12.129,NA
MBNA,NA,23-C-1733601,NA,1733601,2023 Crawfordsville Medium,NA,11.547,NA
MBNA,NA,23-C-1738988,NA,1738988,2023 Crawfordsville High,NA,NA,NA
MBNA,NA,23-C-1738988,NA,1738988,2023 Crawfordsville High,NA,NA,NA
MBNA,NA,23-C-1738988,NA,1738988,2023 Crawfordsville High,NA,NA,NA
MBNA,NA,23-C-1738988,NA,1738988,2023 Crawfordsville High,NA,NA,NA
MBNA,NA,23-C-1738988,NA,1738988,2023 Crawfordsville High,NA,NA,NA
MBNA,NA,23-C-1738988,NA,1738988,2023 Crawfordsville High,NA,NA,NA
MBNA,NA,23-C-1739373,NA,1739373,2023 Crawfordsville High,NA,NA,NA
MBNA,NA,23-C-1739373,NA,1739373,2023 Crawfordsville High,NA,NA,NA
MBNA,NA,23-C-1739373,NA,1739373,2023 Crawfordsville High,NA,NA,NA
MBNA,NA,23-C-1739373,NA,1739373,2023 Crawfordsville High,NA,NA,NA
MBNA,NA,23-C-1739373,NA,1739373,2023 Crawfordsville High,NA,NA,NA
MBNA,NA,23-C-1739373,NA,1739373,2023 Crawfordsville High,NA,NA,NA
MBNA,MB,LINCOLN$INBRED HIPS$150N$DRYLAND$REP$1$PLOT1285ROW14$RANGE19$@MBNA,LINCOLN$INBRED HIPS$150N$DRYLAND$REP$1$PLOT1285ROW14$RANGE19$@MB,1285,2023 Lincoln Medium,2023 Lincoln Medium,13.195,11.32
MBNA,MB,LINCOLN$INBRED HIPS$150N$DRYLAND$REP$1$PLOT1285ROW14$RANGE19$@MBNA,LINCOLN$INBRED HIPS$150N$DRYLAND$REP$1$PLOT1285ROW14$RANGE19$@MB,1285,2023 Lincoln Medium,2023 Lincoln Medium,9.145,11.32
MBNA,MB,LINCOLN$INBRED HIPS$150N$DRYLAND$REP$1$PLOT1285ROW14$RANGE19$@MBNA,LINCOLN$INBRED HIPS$150N$DRYLAND$REP$1$PLOT1285ROW14$RANGE19$@MB,1285,2023 Lincoln Medium,2023 Lincoln Medium,9.007,11.32
MBNA,MB,LINCOLN$INBRED HIPS$150N$DRYLAND$REP$1$PLOT1285ROW14$RANGE19$@MBNA,LINCOLN$INBRED HIPS$150N$DRYLAND$REP$1$PLOT1285ROW14$RANGE19$@MB,1285,2023 Lincoln Medium,2023 Lincoln Medium,11.642,11.32
MBNA,MB,LINCOLN$INBRED HIPS$150N$DRYLAND$REP$1$PLOT1285ROW14$RANGE19$@MBNA,LINCOLN$INBRED HIPS$150N$DRYLAND$REP$1$PLOT1285ROW14$RANGE19$@MB,1285,2023 Lincoln Medium,2023 Lincoln Medium,10.829,11.32
MBNA,MB,LINCOLN$INBRED HIPS$150N$DRYLAND$REP$1$PLOT1285ROW14$RANGE19$@MBNA,LINCOLN$INBRED HIPS$150N$DRYLAND$REP$1$PLOT1285ROW14$RANGE19$@MB,1285,2023 Lincoln Medium,2023 Lincoln Medium,14.121000000000002,11.32
MBNA,MB,LINCOLN$INBRED HIPS$150N$DRYLAND$REP$2$PLOT2354ROW19$RANGE24$@MBNA,LINCOLN$INBRED HIPS$150N$DRYLAND$REP$2$PLOT2354ROW19$RANGE24$@MB,2354,2023 Lincoln Medium,2023 Lincoln Medium,14.482,12.37
MBNA,MB,LINCOLN$INBRED HIPS$150N$DRYLAND$REP$2$PLOT2354ROW19$RANGE24$@MBNA,LINCOLN$INBRED HIPS$150N$DRYLAND$REP$2$PLOT2354ROW19$RANGE24$@MB,2354,2023 Lincoln Medium,2023 Lincoln Medium,14.194,12.37
MBNA,MB,LINCOLN$INBRED HIPS$150N$DRYLAND$REP$2$PLOT2354ROW19$RANGE24$@MBNA,LINCOLN$INBRED HIPS$150N$DRYLAND$REP$2$PLOT2354ROW19$RANGE24$@MB,2354,2023 Lincoln Medium,2023 Lincoln Medium,12.906,12.37
MBNA,MB,LINCOLN$INBRED HIPS$150N$DRYLAND$REP$2$PLOT2354ROW19$RANGE24$@MBNA,LINCOLN$INBRED HIPS$150N$DRYLAND$REP$2$PLOT2354ROW19$RANGE24$@MB,2354,2023 Lincoln Medium,2023 Lincoln Medium,10.786,12.37
MBNA,MB,LINCOLN$INBRED HIPS$150N$DRYLAND$REP$2$PLOT2354ROW19$RANGE24$@MBNA,LINCOLN$INBRED HIPS$150N$DRYLAND$REP$2$PLOT2354ROW19$RANGE24$@MB,2354,2023 Lincoln Medium,2023 Lincoln Medium,11.964,12.37
MBNA,MB,LINCOLN$INBRED HIPS$150N$DRYLAND$REP$2$PLOT2354ROW19$RANGE24$@MBNA,LINCOLN$INBRED HIPS$150N$DRYLAND$REP$2$PLOT2354ROW19$RANGE24$@MB,2354,2023 Lincoln Medium,2023 Lincoln Medium,9.859000000000002,12.37
MBNA,MB,MISSOURI VALLEY$INBRED HIPS$150N$DRYLAND$REP$1$PLOT423ROW4$RANGE35$@MBNA,23-M-1729334,423,2023 Missouri Valley Medium,2023 Missouri Valley Medium,16.127000000000002,15.34
MBNA,MB,MISSOURI VALLEY$INBRED HIPS$150N$DRYLAND$REP$1$PLOT423ROW4$RANGE35$@MBNA,23-M-1729334,423,2023 Missouri Valley Medium,2023 Missouri Valley Medium,16.035,15.34
